"","b_total_mean","b_total_disp","b_C_mean","b_C_disp","b_D_mean","b_D_disp"
"ENSMUSG00000000001",526.52380952381,0.0259195861779933,512.8,0.0263607652550645,539,0.0303504788863994
"ENSMUSG00000000056",35.0476190476191,0.0268136342949105,34,0.0368954061066359,36,0.0252443172272799
"ENSMUSG00000000058",24.7142857142857,0.0324811844935718,25.3,0.0392430098416459,24.1818181818182,0.0308226801317867
"ENSMUSG00000000078",609.095238095238,0.0425780772857761,569.6,0.040670208758529,645,0.0429278096662131
"ENSMUSG00000000088",583.428571428571,0.0283433681963841,459.2,0.0264091511690554,696.363636363636,0.0335224226830649
"ENSMUSG00000000093",28.6190476190476,0.0757019020184917,29.8,0.0711394942123213,27.5454545454545,0.0625656464446774
"ENSMUSG00000000120",54.7619047619048,0.414545088900107,58.3,0.211882853495101,51.5454545454545,0.445175492320047
"ENSMUSG00000000125",26.7142857142857,0.0614209027970335,30.8,0.0415214855453049,23,0.0757771547797725
"ENSMUSG00000000126",139,0.170933122101244,114.5,0.145019340782621,161.272727272727,0.13820054817534
"ENSMUSG00000000127",132.047619047619,0.0189620632113322,123.5,0.0255192892587903,139.818181818182,0.0208782061087991
"ENSMUSG00000000131",1631.33333333333,0.0108220492020641,1450.4,0.015500219374509,1795.81818181818,0.0165970857186132
"ENSMUSG00000000149",1890.38095238095,0.0339672478135104,1957.9,0.0405002237777728,1829,0.0265092916446727
"ENSMUSG00000000168",16.9047619047619,0.0268002812853315,19.3,0.0245430879248141,14.7272727272727,0.0465716108445115
"ENSMUSG00000000171",861.142857142857,0.0147598306417472,777.5,0.0177779973757971,937.181818181818,0.0203354630664464
"ENSMUSG00000000184",331.285714285714,0.0262956180456583,364.3,0.0342062690611934,301.272727272727,0.0220535814155672
"ENSMUSG00000000197",931.714285714286,0.0144624396545401,897.5,0.0170988985920872,962.818181818182,0.0220746763173836
"ENSMUSG00000000202",26.3333333333333,0.0552024681027109,25.5,0.0478337960900226,27.0909090909091,0.0548683206843393
"ENSMUSG00000000223",206.904761904762,0.0190600499402786,186.2,0.022874062918465,225.727272727273,0.0238940214140119
"ENSMUSG00000000247",50.7142857142857,0.0416067529722418,49.5,0.0346269604615342,51.8181818181818,0.0454543465272334
"ENSMUSG00000000253",62.8095238095238,0.0517471766100641,55.3,0.0262533412266687,69.6363636363636,0.0702956301537315
"ENSMUSG00000000275",17.6666666666667,0.100751747077326,16,0.0842370640977476,19.1818181818182,0.0845828028207247
"ENSMUSG00000000276",859.619047619048,0.0153736417477345,896.3,0.0186212852043459,826.272727272727,0.0217716400450708
"ENSMUSG00000000278",147.809523809524,0.03112561509594,146.1,0.0301672267264754,149.363636363636,0.0348091982717521
"ENSMUSG00000000282",12.1904761904762,0.0452611975571002,10.7,0.0439609866321675,13.5454545454545,0.0483776906619241
"ENSMUSG00000000296",282.47619047619,0.0317181719192586,300.6,0.0266469679143703,266,0.0388236521674929
"ENSMUSG00000000326",359.857142857143,0.021019733258064,402.6,0.0262654947978767,321,0.0213983661711042
"ENSMUSG00000000340",250.904761904762,0.0523313393595362,264.9,0.0474710385629622,238.181818181818,0.0527261189927097
"ENSMUSG00000000346",775.47619047619,0.0224375006402137,758.7,0.0259603738287399,790.727272727273,0.0250940047316057
"ENSMUSG00000000365",12.2857142857143,0.0441507353199968,11.2,0.049071707289096,13.2727272727273,0.0429498608863732
"ENSMUSG00000000374",1956.57142857143,0.0100001586525095,1805,0.0157840264388874,2094.36363636364,0.0152835554042426
"ENSMUSG00000000399",1244.42857142857,0.0180974547611023,1214.1,0.0178060823428767,1272,0.0244176196364169
"ENSMUSG00000000402",22.3333333333333,0.0394030459370272,32.3,0.0480799195863607,13.2727272727273,0.0332314099622623
"ENSMUSG00000000420",461.238095238095,0.0261006820766115,433.7,0.0278393612729601,486.272727272727,0.0295983628534851
"ENSMUSG00000000439",153.238095238095,0.0212059287308164,138.2,0.0281304883536553,166.909090909091,0.0220799860134924
"ENSMUSG00000000440",23.4285714285714,0.0740865636785707,20.6,0.0561306802159626,26,0.0715724927319488
"ENSMUSG00000000489",317.571428571429,0.0646133521484967,316.9,0.0603701456603694,318.181818181818,0.0554772820283093
"ENSMUSG00000000531",600.142857142857,0.0622348806656017,535,0.0682836866389264,659.363636363636,0.0446406667201796
"ENSMUSG00000000532",2260.28571428571,0.0176316381321622,2120,0.0181368867835897,2387.81818181818,0.0237422153934615
"ENSMUSG00000000552",978.809523809524,0.0397628834778843,885.1,0.0365890028587284,1064,0.0398976155494891
"ENSMUSG00000000555",325.142857142857,0.0344801452939466,304.4,0.0392062586568693,344,0.0316741384995043
"ENSMUSG00000000560",1007.52380952381,0.0602729927904767,605.9,0.0542324704042663,1372.63636363636,0.0580740577661694
"ENSMUSG00000000562",17.0952380952381,0.100450614389404,17.3,0.102792603863025,16.9090909090909,0.0655658328717719
"ENSMUSG00000000567",341.190476190476,0.0221101695120512,332.4,0.0246748669958061,349.181818181818,0.0258883432729901
"ENSMUSG00000000568",892.380952380952,0.0322253222645188,919.5,0.026588151732416,867.727272727273,0.038858288534614
"ENSMUSG00000000594",591.285714285714,0.0128716237628543,588.2,0.0174130914202781,594.090909090909,0.0175710968292725
"ENSMUSG00000000600",584.428571428571,0.0517489720120431,568.9,0.0323511797323942,598.545454545455,0.0637180361909393
"ENSMUSG00000000605",3361.38095238095,0.0130908502607221,3139.9,0.01889570908564,3562.72727272727,0.0170265614696129
"ENSMUSG00000000627",28.4761904761905,0.032852225989831,25.1,0.0404035046455905,31.5454545454545,0.0301500030384626
"ENSMUSG00000000628",67.3809523809524,0.0254462611303856,72.4,0.0370974943284557,62.8181818181818,0.020716292141551
"ENSMUSG00000000708",70.9523809523809,0.0519072379236399,72.1,0.0502108423101777,69.9090909090909,0.0495089404623782
"ENSMUSG00000000711",59.4761904761905,0.0444235391002926,55.4,0.0414104280916743,63.1818181818182,0.0447025462651066
"ENSMUSG00000000732",15.9047619047619,0.0203021336414712,17.1,0.0312317725821872,14.8181818181818,0.0231256335519901
"ENSMUSG00000000743",286.380952380952,0.0173640642664167,268.8,0.0164414307220702,302.363636363636,0.0261485924845268
"ENSMUSG00000000759",617.428571428571,0.0136167906191654,553.7,0.0194107599195202,675.363636363636,0.0176491429777249
"ENSMUSG00000000776",246.238095238095,0.0152889293344117,221.5,0.0194438055264434,268.727272727273,0.0193900922081634
"ENSMUSG00000000782",86.8571428571429,0.0279018541590156,91.9,0.0341883880813811,82.2727272727273,0.0263667799891416
"ENSMUSG00000000791",16.2380952380952,0.0692310792550204,15.8,0.0729099912218381,16.6363636363636,0.0545339499758842
"ENSMUSG00000000792",111.285714285714,0.023145164270922,143.3,0.0282342893884265,82.1818181818182,0.0236998305070041
"ENSMUSG00000000794",56.9047619047619,0.0704059578916569,57.8,0.0928322530630077,56.0909090909091,0.0352255082050689
"ENSMUSG00000000804",3082.90476190476,0.0234610865000726,2855.3,0.0260941818346522,3289.81818181818,0.0265090936361907
"ENSMUSG00000000811",31.8571428571429,0.0312353697419403,30,0.0321301968231783,33.5454545454545,0.0367544953416314
"ENSMUSG00000000876",15.6190476190476,0.030975835055173,14.8,0.0275715705118976,16.3636363636364,0.0478641344320042
"ENSMUSG00000000902",55.1904761904762,0.0265979716305137,49,0.0370424033816248,60.8181818181818,0.0234199814500509
"ENSMUSG00000000915",1344.42857142857,0.0266601100899502,1242.8,0.0242231214028984,1436.81818181818,0.0314061795604455
"ENSMUSG00000000934",150.095238095238,0.0277320066145524,130.9,0.0222750321930521,167.545454545455,0.0368816370541276
"ENSMUSG00000000948",1426.14285714286,0.0315997879845001,1401.3,0.0264560218128582,1448.72727272727,0.036300841424682
"ENSMUSG00000000957",121,0.0279613497760707,116,0.0251854091586963,125.545454545455,0.0355185881979941
"ENSMUSG00000000958",27.2380952380952,0.024881980507728,36.3,0.026204247662802,19,0.034899293402544
"ENSMUSG00000000959",491.714285714286,0.0126944821925124,449.9,0.0161038362060136,529.727272727273,0.0184158120004662
"ENSMUSG00000001014",14.1904761904762,0.0394594352668345,12.4,0.0462105101050587,15.8181818181818,0.0377318317849302
"ENSMUSG00000001016",732.47619047619,0.0167395390125406,720.8,0.0203773382903182,743.090909090909,0.0210029150499183
"ENSMUSG00000001017",26.1428571428571,0.0594287168637791,24.7,0.0548649737777042,27.4545454545455,0.0583203123356217
"ENSMUSG00000001018",150.47619047619,0.0207322764004695,155.7,0.0257784629138773,145.727272727273,0.0246420743452233
"ENSMUSG00000001025",55.8571428571429,0.0430956951328685,59.8,0.0448194792007005,52.2727272727273,0.0384011510830577
"ENSMUSG00000001052",1105.95238095238,0.00968347971789229,1011.9,0.0161794336973938,1191.45454545455,0.014494273091393
"ENSMUSG00000001053",43.1904761904762,0.0585723512135259,37.6,0.0427761849993008,48.2727272727273,0.0632702822706856
"ENSMUSG00000001056",224.095238095238,0.0284988629265032,200.8,0.0199707059661116,245.272727272727,0.039848111116773
"ENSMUSG00000001098",68.0476190476191,0.0255298325823149,59.4,0.0278195980308237,75.9090909090909,0.030155820573123
"ENSMUSG00000001103",12.8095238095238,0.150091660376682,14.2,0.160257095012614,11.5454545454545,0.0754675394214976
"ENSMUSG00000001105",227.095238095238,0.0167449720876153,219.2,0.0209864135135627,234.272727272727,0.0210728870854711
"ENSMUSG00000001120",273.714285714286,0.0280445451417276,260.8,0.0301254332228926,285.454545454545,0.0279156084246493
"ENSMUSG00000001128",49.4761904761905,0.0678384685043206,47.2,0.0616357765558013,51.5454545454545,0.057796016634024
"ENSMUSG00000001150",1288.14285714286,0.00881648806481133,1187.4,0.015822149091686,1379.72727272727,0.0136832274375477
"ENSMUSG00000001151",709.428571428571,0.0121971693752939,666.6,0.015671802416553,748.363636363636,0.0192944956843931
"ENSMUSG00000001156",383.666666666667,0.0214248388113353,420.6,0.0308682086761611,350.090909090909,0.0187563169868407
"ENSMUSG00000001158",48.9523809523809,0.130387773726117,49.8,0.0765496110000246,48.1818181818182,0.140686372180642
"ENSMUSG00000001227",1771.2380952381,0.0760936379856566,1595.8,0.064541259323752,1930.72727272727,0.0671228095182023
"ENSMUSG00000001229",894.190476190476,0.021658849855956,822,0.0255992855671844,959.818181818182,0.022725269851347
"ENSMUSG00000001247",36.0952380952381,0.0261051631559715,34.6,0.0318994555991409,37.4545454545455,0.0282136055024586
"ENSMUSG00000001248",1239.33333333333,0.0180555002731181,1034.2,0.0211330975926517,1425.81818181818,0.0222760194352693
"ENSMUSG00000001249",14.952380952381,0.0970883008433391,13.2,0.0477327535299011,16.5454545454545,0.116270510907739
"ENSMUSG00000001260",169,0.0794628005516225,156.5,0.0504238173976613,180.363636363636,0.0902917145038467
"ENSMUSG00000001270",1108,0.0451454653793509,1118.6,0.0483457807980424,1098.36363636364,0.0367906834529949
"ENSMUSG00000001280",508,0.0184595955196766,476.2,0.021086377815957,536.909090909091,0.024607459162459
"ENSMUSG00000001285",233.142857142857,0.0159212367694139,241.3,0.0175332124450246,225.727272727273,0.0214733731667941
"ENSMUSG00000001289",150.190476190476,0.0496972482429326,147.3,0.0427775278880032,152.818181818182,0.0515356278090886
"ENSMUSG00000001300",223.952380952381,0.0180120190424588,207.8,0.0240161605956168,238.636363636364,0.0192471823675577
"ENSMUSG00000001305",64.7142857142857,0.0534928312001271,65.3,0.0297988210044301,64.1818181818182,0.0714940452757742
"ENSMUSG00000001313",103,0.105479962001436,92.5,0.0967678699612515,112.545454545455,0.0819591421307656
"ENSMUSG00000001323",11.8571428571429,0.0435652405709665,11.5,0.0544013831787927,12.1818181818182,0.039615548061108
"ENSMUSG00000001333",11.9047619047619,0.0541678530241481,9.5,0.0833399710856266,14.0909090909091,0.0362435652774919
"ENSMUSG00000001334",1311.66666666667,0.011849177206736,1283.2,0.0151237076509202,1337.54545454545,0.0183282423450136
"ENSMUSG00000001376",966.095238095238,0.038180953552691,950.6,0.0359754674508552,980.181818181818,0.0400517317835548
"ENSMUSG00000001379",503.428571428571,0.0134402819994042,453.9,0.016206529509567,548.454545454545,0.0198835301054803
"ENSMUSG00000001380",988.761904761905,0.0164534421806897,827.1,0.018266822538643,1135.72727272727,0.0217857920565195
"ENSMUSG00000001383",1153.14285714286,0.0357523906534054,1147.5,0.0212328891993946,1158.27272727273,0.04806606445238
"ENSMUSG00000001415",1801.66666666667,0.0166142835800394,1663.3,0.0222790270515144,1927.45454545455,0.0190655569906086
"ENSMUSG00000001416",736.190476190476,0.0263623763329215,700.6,0.0214922148504809,768.545454545455,0.0334772743463808
"ENSMUSG00000001420",11.5714285714286,0.0327208629596637,11.7,0.0392253344471016,11.4545454545455,0.0359249217537205
"ENSMUSG00000001424",1209.52380952381,0.0152606204248647,1096.7,0.0191420903641464,1312.09090909091,0.0192850552450703
"ENSMUSG00000001445",179.285714285714,0.0162453395080931,170.7,0.0204790898750584,187.090909090909,0.0199860067349626
"ENSMUSG00000001472",4968.47619047619,0.0140825713990601,4503.6,0.017435067736791,5391.09090909091,0.0181480931335362
"ENSMUSG00000001473",37.4285714285714,0.047177968980215,54.2,0.0547962584197225,22.1818181818182,0.0326497903551049
"ENSMUSG00000001482",42.1904761904762,0.028593171471857,42,0.0427307651850202,42.3636363636364,0.0222354562202502
"ENSMUSG00000001493",11.4285714285714,0.0817731312329622,6.1,0.058979954943713,16.2727272727273,0.0792337708060608
"ENSMUSG00000001496",56.3809523809524,0.135526526428663,55.3,0.118473946146564,57.3636363636364,0.109666001670579
"ENSMUSG00000001518",52.9047619047619,0.0364163831746247,47.4,0.0244500820595299,57.9090909090909,0.0484407773316241
"ENSMUSG00000001520",45.5714285714286,0.0510389420094601,39.5,0.0456274562583625,51.0909090909091,0.0507369801818271
"ENSMUSG00000001525",82.0952380952381,0.0944208666850364,68.2,0.0611493119764082,94.7272727272727,0.0984391893546274
"ENSMUSG00000001542",487.238095238095,0.0447980475834355,479.2,0.0400082508163221,494.545454545455,0.0467721013682711
"ENSMUSG00000001569",86.5238095238095,0.0597152352882645,76.3,0.08391463630737,95.8181818181818,0.0318988215658472
"ENSMUSG00000001576",810.571428571429,0.0232722391566143,766.5,0.0216239518021337,850.636363636364,0.0281439370385654
"ENSMUSG00000001627",285.52380952381,0.0607517349895475,257.1,0.047925838208327,311.363636363636,0.0641444960685853
"ENSMUSG00000001630",11.6190476190476,0.0401013059945411,9.9,0.0877718387959623,13.1818181818182,0.0259728223424968
"ENSMUSG00000001663",23.3809523809524,0.0226155628664241,20.9,0.0249626813661,25.6363636363636,0.0320226416012975
"ENSMUSG00000001666",163.52380952381,0.019910454059888,149.9,0.0224127510457459,175.909090909091,0.0248318057495758
"ENSMUSG00000001687",2893.95238095238,0.0209903118491918,2878.1,0.0223336363171596,2908.36363636364,0.0259559823518018
"ENSMUSG00000001700",98.5714285714286,0.0180715868463835,107.5,0.0210880374062659,90.4545454545455,0.0244122712554403
"ENSMUSG00000001707",219.809523809524,0.0372149468073953,209.3,0.0395653021107415,229.363636363636,0.0360728685188179
"ENSMUSG00000001751",24.6666666666667,0.0369856895746307,21.2,0.041911799169219,27.8181818181818,0.0371605626518367
"ENSMUSG00000001755",74.0952380952381,0.0240349095039562,70.5,0.0330915200974595,77.3636363636364,0.0221882617237066
"ENSMUSG00000001761",116,0.0436828097728401,106,0.060036253057269,125.090909090909,0.0263387361152526
"ENSMUSG00000001763",33.4761904761905,0.0753273686648089,32.1,0.0835132825141802,34.7272727272727,0.0518965386404382
"ENSMUSG00000001773",95.2857142857143,0.0663215016339993,62.4,0.0356468944094957,125.181818181818,0.0806357107875442
"ENSMUSG00000001774",869.714285714286,0.0934973753497143,922.5,0.0450855512616958,821.727272727273,0.113706220482537
"ENSMUSG00000001783",136.52380952381,0.0221019921560694,135.4,0.0223166116328578,137.545454545455,0.0279743744530678
"ENSMUSG00000001785",239.47619047619,0.0233020340270696,232.3,0.0199743031504928,246,0.031268241387096
"ENSMUSG00000001802",10.6190476190476,0.106263133896958,7.2,0.237622417347542,13.7272727272727,0.0422431887278438
"ENSMUSG00000001833",3661.52380952381,0.0718105965871175,3637.6,0.0565411833782679,3683.27272727273,0.0703651668278735
"ENSMUSG00000001847",58,0.176818131712169,59.7,0.125359155419673,56.4545454545455,0.162079831448547
"ENSMUSG00000001891",150.142857142857,0.116889822815554,154.9,0.0918068078529485,145.818181818182,0.109337721033295
"ENSMUSG00000001910",404.190476190476,0.0432034427167054,402,0.0296398565687999,406.181818181818,0.05160116642331
"ENSMUSG00000001942",363.095238095238,0.0186222214599039,371.7,0.0222878440178636,355.272727272727,0.0222716504031437
"ENSMUSG00000001943",50.7142857142857,0.0391631232910237,47.3,0.0446298370576425,53.8181818181818,0.0344061660663757
"ENSMUSG00000001948",15.047619047619,0.0622701630504582,17.8,0.0531029609925132,12.5454545454545,0.0629237847957181
"ENSMUSG00000001962",17.2380952380952,0.0835792548149061,18.7,0.0349266422501876,15.9090909090909,0.123882787171049
"ENSMUSG00000001964",42.0952380952381,0.0197549045269213,35.3,0.0256801759488027,48.2727272727273,0.024836362575624
"ENSMUSG00000001983",164.857142857143,0.0105442505606608,152.5,0.0162855727048313,176.090909090909,0.015950047495402
"ENSMUSG00000001985",3210.33333333333,0.0276225916821186,2877,0.02757688186178,3513.36363636364,0.0299119906663002
"ENSMUSG00000001988",95.0952380952381,0.0679272404890187,83.5,0.0477972858713724,105.636363636364,0.0722104489167256
"ENSMUSG00000001995",956.809523809524,0.0240200005845787,853.4,0.023527938122757,1050.81818181818,0.0278163026445844
"ENSMUSG00000001999",74.0476190476191,0.0427400583971086,67.3,0.0422889510346382,80.1818181818182,0.0410506232339879
"ENSMUSG00000002006",2355.2380952381,0.0163257284184678,2264.5,0.0178479730978946,2437.72727272727,0.0215511584473119
"ENSMUSG00000002007",17.1428571428571,0.0755630291604656,16.9,0.0717834960135428,17.3636363636364,0.0605798886373598
"ENSMUSG00000002012",111,0.0311664787265911,92.3,0.0283256600007184,128,0.0372369949066773
"ENSMUSG00000002014",47.8095238095238,0.0430965143254412,44.8,0.0400406211887202,50.5454545454545,0.0453916377321349
"ENSMUSG00000002015",440.714285714286,0.0205657950533615,431.7,0.0241766174220051,448.909090909091,0.0234156553585036
"ENSMUSG00000002020",12.5714285714286,0.0808463818580739,12.7,0.105380066818331,12.4545454545455,0.0447987241879683
"ENSMUSG00000002032",544.952380952381,0.0315986772543755,494.6,0.0358520245028912,590.727272727273,0.0285983447865352
"ENSMUSG00000002043",12.8571428571429,0.0308275682685665,15,0.0245852356209911,10.9090909090909,0.0589733629288772
"ENSMUSG00000002052",176.238095238095,0.0315898147607438,171.7,0.0313704462626199,180.363636363636,0.0348339061973912
"ENSMUSG00000002064",271.380952380952,0.0301554547164417,248.4,0.0254776955805388,292.272727272727,0.0356045007604784
"ENSMUSG00000002100",11.4285714285714,0.0313587027396334,9.3,0.0338581110602101,13.3636363636364,0.0397743805507155
"ENSMUSG00000002103",31.2857142857143,0.029000810828614,30.2,0.0246487818990898,32.2727272727273,0.041572345228989
"ENSMUSG00000002109",22.6190476190476,0.0353815339916228,23.7,0.0540348028713863,21.6363636363636,0.0259755422222535
